"cdd65.2040.07","cdd65.2040.07.1","hdd65.2040.07","hdd65.2040.07.1","tas.2040.07","tas.2040.07.1","geocode","date_retrieved","variables","scenarios","fd.2040.07","fd.2040.07.1","hd30.2040.07","hd30.2040.07.1","hd35.2040.07","hd35.2040.07.1","id.2040.07","id.2040.07.1","r20mm.2040.07","r20mm.2040.07.1"
264.21,388,-625.45,-851.61,1.32,1.92,"FRA",2024-11-13,"tas,cdd65,hdd65","ssp245,ssp585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"FRA",2024-11-13,"hd30,hd35,fd","ssp245,ssp585",-10.12,-13.97,10.95,15.87,1.44,2.85,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"FRA",2024-11-13,"id,r20mm","ssp245,ssp585",NA,NA,NA,NA,NA,NA,-2.49,-3.16,0.38,0.39
